Category,SINGLE_MEN,SINGLE_WOMEN,TOTAL_SINGLE_ADULTS,FAMILIES_WITH_CHILDREN,ADULT_FAMILIES,TOTAL_FAMILIES,TOTAL_ADULTS_IN_FAMILIES,TOTAL_CHILDREN,DATA_PERIOD
DHS-administered facilities,72,40,112,160,23,183,,,201903
Average daily overnight census DHS drop-in centers,166,73,239,,,,,,201903
Average daily overnight census DHS faith-based centers,136,32,168,,,,,,201903
Average daily census: DHS-administered facilities,12041,4438,16479,12458,2521,14979,21983,21951,201903
Census: Safe Havens,865,135,1000,,,,,,201903
Census: Stabilization Beds,205,49,254,,,,,,201903
Census: Veterans Beds,227,0,,,,,,,201903
Census: CJ Beds,205,0,,,,,,,201903
Number of unduplicated persons: DHS-administered facilities,15090,5421,20511,13686,2753,16439,18311,24036,201903
Number of unduplicated persons: DHS safe havens,931,147,1078,,,,,,201903
Number unduplicated persons: Stabilization Beds,237,57,294,,,,,,201903
Number of unduplicated persons: DHS veterans shelters,282,1,283,,,,,,201903
Number of unduplicated persons: CJ Shelters,234,1,235,,,,,,201903
"Average Length of Stay: DHS-administered facility (by type, excluding drop-in and faith-based)",416,410,415,448,578,,,,201903
Unduplicated applicants,1244,479,1723,2266,334,,,,201903
Applicants found eligible for shelter,1244,479,1723,881,105,,,,201903
Unduplicated Eligible Entrants to DHS-administered Facilities,1244,479,1723,881,105,,,,201903
Percentage of eligible families who submitted 1 application,,,,60.4,34.3,,,,201903
Percentage of eligible families who submitted 2 application,,,,18.5,15.2,,,,201903
Percentage of eligible families who submitted 3 application,,,,7.5,15.2,,,,201903
Percentage of eligible families who submitted 4 application,,,,4.4,7.6,,,,201903
Percentage of eligible families who submitted 5 application,,,,5,3.8,,,,201903
Percentage of eligible families who submitted 6 or more applications,,,,4.2,23.8,,,,201903
DHS-administered facilities,72,40,112,157,23,180,,,201904
Average daily overnight census DHS drop-in centers,169,71,240,,,,,,201904
Average daily overnight census DHS faith-based centers,133,35,168,,,,,,201904
Average daily census: DHS-administered facilities,12047,4428,16475,12094,2504,14598,21419,21228,201904
Census Safe Havens,847,133,980,,,,,,201904
Census Stabilization Beds,198,47,245,,,,,,201904
Census Veterans Shelters,244,0,244,,,,,,201904
Census CJ Shelters,208,0,208,,,,,,201904
Number of unduplicated persons: DHS-administered facilities,15044,5464,20520,13569,2730,16299,18137,23766,201904
Number of unduplicated persons: DHS safe havens,936,148,1086,,,,,,201904
Number of unduplicated persons: DHS stabilization beds,230,56,286,,,,,,201904
Number of unduplicated persons: DHS veterans shelters,285,1,286,,,,,,201904
Number of unduplicated persons: DHS CJ shelters,235,1,236,,,,,,201904
"Average Length of Stay: DHS-administered facility (by type, excluding drop-in and faith-based)",421,412,418,449,590,,,,201904
Unduplicated applicants,1256,477,1736,2127,348,,,,201904
Unduplicated Eligible Entrants to DHS-administered Facilities,1256,477,1736,855,115,,,,201904
Entrants to DHS administrered facilities,1256,477,1736,855,115,,,,201904
Unduplicated entrants to DHS-administered facilities,1256,477,1736,855,115,,,,201904
Families with children found eligible for city-administered facilities,,,,855,115,,,,201904
Percentage of eligible families who submitted 1 application,,,,53.7,38.3,,,,201904
Percentage of eligible families who submitted 2 application,,,,22,22.6,,,,201904
Percentage of eligible families who submitted 3 application,,,,11.2,9.6,,,,201904
